"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4
-0.542944,46.877556,-0.542944,,
-0.336251,46.94252,-0.336251,,
-0.676509,47.007214,-0.676509,,
-0.190485,47.071415,-0.190485,,
-0.17309,47.135529,-0.17309,,
0.149785,47.20002,0.149785,,
-1.036165,47.264645,-1.036165,,
0.237053,47.328899,0.237053,,
-0.212156,47.393341,-0.212156,,
-0.8835,47.457699,-0.8835,,
0.167808,47.521984,0.167808,,
-1.267528,47.586292,-1.267528,,
0.118385,47.650616,0.118385,,
-0.208377,47.714523,-0.208377,,
-0.385952,47.778648,-0.385952,,
-0.186034,47.84272,-0.186034,,
