"True Stress, MPa","True Strain, %","True Stress, MPa.1",Unnamed: 3,Unnamed: 4,Unnamed: 5
146.343979,9.18218,146.343979,,,
145.895447,9.201015,145.895447,,,
146.220383,9.217844,146.220383,,,
146.134415,9.237041,146.134415,,,
146.127396,9.254418,146.127396,,,
146.243317,9.272436,146.243317,,,
146.16301,9.291763,146.16301,,,
146.088486,9.309284,146.088486,,,
145.992538,9.328983,145.992538,,,
146.573471,9.346954,146.573471,,,
146.288406,9.363489,146.288406,,,
145.98317,9.383721,145.98317,,,
146.088547,9.400671,146.088547,,,
146.339691,9.419389,146.339691,,,
146.126236,9.437853,146.126236,,,
146.366928,9.456443,146.366928,,,
146.095078,9.472742,146.095078,,,
146.115112,9.491674,146.115112,,,
146.166489,9.509159,146.166489,,,
146.310028,9.527888,146.310028,,,
146.273666,9.546041,146.273666,,,
146.362213,9.563407,146.362213,,,
146.216995,9.582646,146.216995,,,
146.268112,9.600495,146.268112,,,
146.281693,9.618309,146.281693,,,
146.337555,9.637872,146.337555,,,
146.400146,9.655809,146.400146,,,
146.320816,9.674067,146.320816,,,
146.568665,9.69257,146.568665,,,
146.349228,9.70975,146.349228,,,
146.261536,9.728495,146.261536,,,
146.402023,9.746923,146.402023,,,
146.411484,9.764149,146.411484,,,
146.357224,9.782982,146.357224,,,
146.40799,9.800655,146.40799,,,
146.407166,9.818638,146.407166,,,
146.427933,9.837255,146.427933,,,
146.496567,9.856138,146.496567,,,
146.402252,9.872685,146.402252,,,
146.524857,9.891412,146.524857,,,
146.445007,9.908838,146.445007,,,
146.464767,9.926974,146.464767,,,
146.355927,9.946035,146.355927,,,
146.207535,9.962676,146.207535,,,
146.2995,9.982636,146.2995,,,
146.843399,9.999992,146.843399,,,
146.469543,10.017077,146.469543,,,
146.375168,10.036521,146.375168,,,
146.862976,10.054526,146.862976,,,
146.813187,10.071527,146.813187,,,
146.465027,10.090386,146.465027,,,
146.494339,10.108069,146.494339,,,
146.632751,10.125502,146.632751,,,
146.349564,10.145054,146.349564,,,
146.421005,10.162607,146.421005,,,
146.468964,10.181668,146.468964,,,
146.529861,10.199485,146.529861,,,
146.742645,10.216848,146.742645,,,
146.894196,10.235024,146.894196,,,
146.606888,10.253436,146.606888,,,
146.560928,10.27054,146.560928,,,
146.402985,10.288923,146.402985,,,
146.775543,10.306745,146.775543,,,
146.450684,10.324981,146.450684,,,
146.67688,10.343945,146.67688,,,
146.483276,10.360905,146.483276,,,
146.644806,10.379798,146.644806,,,
146.602524,10.397451,146.602524,,,
146.54567,10.414983,146.54567,,,
146.630936,10.433598,146.630936,,,
146.661301,10.450705,146.661301,,,
146.422348,10.469322,146.422348,,,
146.510284,10.487861,146.510284,,,
147.001297,10.505217,147.001297,,,
146.932129,10.523019,146.932129,,,
146.974991,10.541292,146.974991,,,
146.508743,10.55836,146.508743,,,
146.842285,10.577322,146.842285,,,
146.591507,10.595326,146.591507,,,
146.831909,10.613017,146.831909,,,
146.921936,10.63093,146.921936,,,
146.814194,10.649546,146.814194,,,
146.771866,10.666595,146.771866,,,
146.454575,10.685686,146.454575,,,
147.18301400000001,10.703297,147.18301400000001,,,
146.78392,10.720765,146.78392,,,
146.671249,10.739055,146.671249,,,
146.629486,10.756536,146.629486,,,
146.975113,10.775431,146.975113,,,
146.973923,10.792896,146.973923,,,
147.138214,10.810359,147.138214,,,
147.064346,10.829381,147.064346,,,
146.895889,10.847213,146.895889,,,
146.948715,10.864591,146.948715,,,
146.981644,10.882939,146.981644,,,
146.934448,10.899926,146.934448,,,
146.95813,10.918665,146.95813,,,
147.347748,10.936811,147.347748,,,
146.85582,10.954377,146.85582,,,
147.135681,10.97148,147.135681,,,
146.925522,10.991316,146.925522,,,
146.99826,11.008296,146.99826,,,
147.055984,11.026811,147.055984,,,
147.040482,11.044382,147.040482,,,
147.043671,11.061929,147.043671,,,
146.840973,11.080379,146.840973,,,
147.015808,11.097857,147.015808,,,
146.817139,11.116078,146.817139,,,
146.810715,11.133229,146.810715,,,
147.200394,11.15124,147.200394,,,
147.091171,11.168417,147.091171,,,
147.082916,11.187082,147.082916,,,
146.904007,11.204167,146.904007,,,
147.059296,11.223413,147.059296,,,
147.226685,11.241248,147.226685,,,
147.155121,11.25842,147.155121,,,
147.137817,11.276623,147.137817,,,
147.294846,11.293447,147.294846,,,
147.083923,11.311952,147.083923,,,
147.097122,11.330091,147.097122,,,
147.292694,11.347535,147.292694,,,
147.192825,11.365177,147.192825,,,
147.249008,11.384605,147.249008,,,
147.117996,11.401285,147.117996,,,
147.232468,11.419886,147.232468,,,
147.177383,11.437559,147.177383,,,
147.076477,11.454771,147.076477,,,
147.27597,11.472439,147.27597,,,
147.131546,11.491536,147.131546,,,
147.326035,11.508665,147.326035,,,
147.037567,11.527066,147.037567,,,
147.167206,11.544156,147.167206,,,
147.657547,11.562148,147.657547,,,
147.627945,11.579763,147.627945,,,
147.034744,11.59795,147.034744,,,
146.961197,11.61418,146.961197,,,
146.767654,11.63341,146.767654,,,
147.094727,11.650536,147.094727,,,
146.952637,11.669165,146.952637,,,
147.300507,11.68744,147.300507,,,
147.139725,11.704207,147.139725,,,
147.027634,11.722391,147.027634,,,
147.063644,11.739555,147.063644,,,
147.299942,11.757723,147.299942,,,
147.173492,11.775278,147.173492,,,
147.176514,11.793689,147.176514,,,
147.24852,11.811502,147.24852,,,
146.985825,11.828989,146.985825,,,
147.093796,11.846426,147.093796,,,
147.067459,11.865304,147.067459,,,
147.312744,11.882983,147.312744,,,
147.16803,11.899813,147.16803,,,
147.108414,11.918073,147.108414,,,
147.444504,11.935584,147.444504,,,
147.174088,11.95251,147.174088,,,
147.022583,11.971099,147.022583,,,
147.298965,11.98896,147.298965,,,
147.221329,12.005396,147.221329,,,
147.124023,12.023796,147.124023,,,
147.160522,12.041098,147.160522,,,
147.115021,12.058598,147.115021,,,
147.355103,12.078097,147.355103,,,
147.030441,12.094661,147.030441,,,
147.040451,12.112584,147.040451,,,
147.415695,12.129755,147.415695,,,
147.20282,12.147815,147.20282,,,
147.389313,12.165867,147.389313,,,
147.252151,12.183735,147.252151,,,
147.400253,12.201189,147.400253,,,
147.435928,12.219458,147.435928,,,
147.815353,12.236125,147.815353,,,
147.46225,12.254418,147.46225,,,
147.377777,12.27205,147.377777,,,
147.439743,12.289921,147.439743,,,
147.535843,12.307757,147.535843,,,
147.823242,12.324673,147.823242,,,
147.296631,12.34244,147.296631,,,
147.528091,12.360566,147.528091,,,
147.678436,12.377278,147.678436,,,
147.478745,12.395267,147.478745,,,
147.563858,12.413537,147.563858,,,
147.935867,12.430246,147.935867,,,
147.935806,12.448483,147.935806,,,
147.485016,12.466238,147.485016,,,
147.693573,12.483217,147.693573,,,
147.804855,12.501487,147.804855,,,
147.804581,12.520179,147.804581,,,
147.595978,12.536985,147.595978,,,
147.333221,12.554725,147.333221,,,
147.657578,12.572792,147.657578,,,
147.949265,12.589643,147.949265,,,
147.540237,12.607882,147.540237,,,
147.704834,12.625945,147.704834,,,
147.636459,12.641847,147.636459,,,
147.79238900000001,12.661289,147.79238900000001,,,
147.65799,12.678293,147.65799,,,
147.723282,12.696375,147.723282,,,
147.569717,12.713756,147.569717,,,
147.743484,12.730734,147.743484,,,
147.567978,12.749001,147.567978,,,
147.495041,12.766739,147.495041,,,
147.737762,12.782802,147.737762,,,
147.722641,12.801011,147.722641,,,
147.86972,12.81829,147.86972,,,
147.647369,12.836482,147.647369,,,
147.747223,12.854478,147.747223,,,
147.457809,12.871428,147.457809,,,
147.775299,12.888845,147.775299,,,
147.738174,12.906638,147.738174,,,
